dayNumber,weekNumber,dayOfWeek,weather,nearbyEvent,eventName,competitorPresent,competitorPrice,scheduleStateId,inventoryStart,rlPrice,source,demand,sales,grossRevenue,cogs,dailyLowSalesPenalty,sundayWastagePenalty,dailyNetProfit,weeklyCumulativeProfit,totalCumulativeProfit,inventoryEnd
1,1,Monday,Cloudy,0,,0,,A-Monday-Cloudy-0-0-NA,5000,5,backend,238,238,1190,238,0,0,952,952,952,4762
2,1,Tuesday,Sunny,0,,0,,E-Tuesday-Sunny-0-0-NA,4762,2,backend,206,206,412,206,0,0,206,1158,1158,4556
3,1,Wednesday,Sunny,0,,0,,E-Wednesday-Sunny-0-0-NA,4556,2,backend,213,213,426,213,0,0,213,1371,1371,4343
4,1,Thursday,Rainy,1,Local Marathon,1,8,D-Thursday-Rainy-1-1-8,4343,5,backend,456,456,2280,456,0,0,1824,3195,3195,3887
5,1,Friday,Cloudy,1,Street Fair,1,3,D-Friday-Cloudy-1-1-3,3887,4,backend,407,407,1628,407,0,0,1221,4416,4416,3480
6,1,Saturday,Cloudy,1,Food Fest,1,3,F-Saturday-Cloudy-1-1-3,3480,4,backend,377,377,1508,377,0,0,1131,5547,5547,3103
7,1,Sunday,Cloudy,1,Food Fest,1,3,F-Sunday-Cloudy-1-1-3,3103,4,backend,378,378,1512,378,0,4087.5,-2953.5,2593.5,2593.5,2725
8,2,Monday,Sunny,0,,0,,E-Monday-Sunny-0-0-NA,5000,2,backend,206,206,412,206,0,0,206,206,2799.5,4794
9,2,Tuesday,Sunny,0,,0,,E-Tuesday-Sunny-0-0-NA,4794,2,backend,232,232,464,232,0,0,232,438,3031.5,4562
10,2,Wednesday,Cloudy,1,Street Fair,1,8,D-Wednesday-Cloudy-1-1-8,4562,5,backend,470,470,2350,470,0,0,1880,2318,4911.5,4092
11,2,Thursday,Rainy,0,,1,8,C-Thursday-Rainy-0-1-8,4092,4,backend,354,354,1416,354,0,0,1062,3380,5973.5,3738
12,2,Friday,Rainy,1,Art Exhibition,1,6,D-Friday-Rainy-1-1-6,3738,5,backend,399,399,1995,399,0,0,1596,4976,7569.5,3339
13,2,Saturday,Cloudy,1,Local Marathon,1,6,F-Saturday-Cloudy-1-1-6,3339,4,backend,513,513,2052,513,0,0,1539,6515,9108.5,2826
14,2,Sunday,Cloudy,1,Movie Screening,1,4,F-Sunday-Cloudy-1-1-4,2826,4,backend,426,426,1704,426,0,3600,-2322,4193,6786.5,2400
15,3,Monday,Sunny,0,,0,,E-Monday-Sunny-0-0-NA,5000,2,backend,201,201,402,201,0,0,201,201,6987.5,4799
16,3,Tuesday,Rainy,1,Local Marathon,0,,B-Tuesday-Rainy-1-0-NA,4799,6,backend,334,334,2004,334,0,0,1670,1871,8657.5,4465
17,3,Wednesday,Cloudy,1,Street Fair,1,8,D-Wednesday-Cloudy-1-1-8,4465,5,backend,446,446,2230,446,0,0,1784,3655,10441.5,4019
18,3,Thursday,Rainy,0,,1,8,C-Thursday-Rainy-0-1-8,4019,4,backend,369,369,1476,369,0,0,1107,4762,11548.5,3650
19,3,Friday,Rainy,1,Art Exhibition,1,6,D-Friday-Rainy-1-1-6,3650,5,backend,396,396,1980,396,0,0,1584,6346,13132.5,3254
20,3,Saturday,Cloudy,1,Local Marathon,1,6,F-Saturday-Cloudy-1-1-6,3254,5,backend,449,449,2245,449,0,0,1796,8142,14928.5,2805
21,3,Sunday,Cloudy,1,Movie Screening,1,4,F-Sunday-Cloudy-1-1-4,2805,4,backend,420,420,1680,420,0,3577.5,-2317.5,5824.5,12611,2385
22,4,Monday,Cloudy,0,,0,,A-Monday-Cloudy-0-0-NA,5000,5,backend,241,241,1205,241,0,0,964,964,13575,4759
23,4,Tuesday,Rainy,1,Local Marathon,0,,B-Tuesday-Rainy-1-0-NA,4759,6,backend,342,342,2052,342,0,0,1710,2674,15285,4417
24,4,Wednesday,Sunny,0,,0,,E-Wednesday-Sunny-0-0-NA,4417,2,backend,246,246,492,246,0,0,246,2920,15531,4171
25,4,Thursday,Rainy,1,Local Marathon,1,8,D-Thursday-Rainy-1-1-8,4171,5,backend,446,446,2230,446,0,0,1784,4704,17315,3725
26,4,Friday,Cloudy,1,Street Fair,1,3,D-Friday-Cloudy-1-1-3,3725,5,backend,322,322,1610,322,0,0,1288,5992,18603,3403
27,4,Saturday,Cloudy,1,Food Fest,1,3,F-Saturday-Cloudy-1-1-3,3403,4,backend,376,376,1504,376,0,0,1128,7120,19731,3027
28,4,Sunday,Cloudy,1,Food Fest,1,3,F-Sunday-Cloudy-1-1-3,3027,4,backend,381,381,1524,381,0,3969,-2826,4294,16905,2646
